type,name,path,description
workflow,plan,_bmad/rbtv/workflows/plan-lifecycle/workflow.md,Create self-executing plans with micro-step task files (4-step create process)
workflow,problem-structuring,_bmad/rbtv/workflows/problem-structuring/workflow.md,Define and structure problems using MECE Pyramid Principle and Problem Trees (4-step process)
workflow,prompting-assistance,_bmad/rbtv/workflows/prompting-assistance/workflow.md,Craft effective prompts using AI model knowledge and prompting techniques (4-step process)
workflow,add-prompting-knowledge,_bmad/rbtv/workflows/add-prompting-knowledge/workflow.md,Route to Builder to create new AI model or prompting technique documentation
workflow,bi-business-innovation,_bmad/rbtv/workflows/bi-business-innovation/workflow.md,Guide users through 6-milestone business innovation lifecycle from idea to MVP
workflow,doc-compound-learning,_bmad/rbtv/workflows/doc-compound-learning/workflow.md,Create backlog PRDs documenting system improvements
workflow,doc-context-handoff,_bmad/rbtv/workflows/doc-context-handoff/workflow.md,Create context transfer summaries for agent continuity
workflow,git-commit,_bmad/rbtv/workflows/git-commit/workflow.md,Execute git operations with Conventional Commits messages
agent,domcobb,_bmad/rbtv/agents/domcobb.md,Problem Architect & Prompting Expert - converts vague needs into structured solutions
agent,mentor,_bmad/rbtv/agents/mentor.md,YC Mentor - guides founders through startup lifecycle milestones
agent,ana,_bmad/rbtv/agents/ana.md,Documentation Orchestrator - compound handoff and product documentation
agent,component-creator,_bmad/rbtv/agents/component-creator.md,BMAD Component Builder - creates agents workflows and tasks
